video_id,canonical_url,first_seen_utc,last_seen_utc,attempt_count,scored_count,error_count,first_score_utc,first_credibility_score,latest_score_utc,latest_credibility_score,improvement_points_latest_minus_first,improvement_percent_latest_vs_first,best_credibility_score,worst_credibility_score,first_generation_origin_score,latest_generation_origin_score,trend,sample_raw_url,source_files_count
5_i0hS-9ud0,https://www.youtube.com/shorts/5_i0hS-9ud0,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,67.56,2026-03-04T11:16:24Z,67.56,0.0,0.0,67.56,67.56,,,no_change,https://youtube.com/shorts/5_i0hS-9ud0,2
5h57TgqyMWg,https://www.youtube.com/shorts/5h57TgqyMWg,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,63.91,2026-03-04T11:16:24Z,63.91,0.0,0.0,63.91,63.91,,,no_change,https://youtube.com/shorts/5h57TgqyMWg,2
5kHypJFtf3w,https://www.youtube.com/shorts/5kHypJFtf3w,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,68.08,2026-03-10T09:13:16Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://www.youtube.com/shorts/5kHypJFtf3w,5
5lNBML2BJdU,https://www.youtube.com/shorts/5lNBML2BJdU,2026-03-03T12:05:33Z,2026-03-03T12:05:33Z,1,1,0,2026-03-03T12:05:33Z,67.77,2026-03-03T12:05:33Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://youtube.com/shorts/5lNBML2BJdU?si=pzXgwQhlePL5a0-i,1
5s8mZNdYZBs,https://www.youtube.com/shorts/5s8mZNdYZBs,2026-03-01T12:40:12Z,2026-03-04T11:16:24Z,4,1,3,2026-03-04T11:16:24Z,67.35,2026-03-04T11:16:24Z,67.35,0.0,0.0,67.35,67.35,,,no_change,https://youtube.com/shorts/5s8mZNdYZBs,4
5szVXhQmm-c,https://www.youtube.com/shorts/5szVXhQmm-c,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,71.12,2026-03-05T10:23:59Z,71.12,0.0,0.0,71.12,71.12,1.32,1.32,no_change,https://youtube.com/shorts/5szVXhQmm-c?si=hZA54wqj3te0Qrfq,2
5vk8tiCOqGE,https://www.youtube.com/shorts/5vk8tiCOqGE,2026-02-26T09:46:27Z,2026-02-26T10:06:04Z,6,6,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:06:04Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/5vk8tiCOqGE,6
5zfptVjyI54,https://www.youtube.com/shorts/5zfptVjyI54,2026-02-26T09:46:27Z,2026-02-26T09:58:20Z,4,4,0,2026-02-26T09:46:27Z,75.0,2026-02-26T09:58:20Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/5zfptVjyI54,4
6848ynUWIpg,https://www.youtube.com/shorts/6848ynUWIpg,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,68.08,2026-03-04T11:16:24Z,68.08,0.0,0.0,68.08,68.08,,,no_change,https://youtube.com/shorts/6848ynUWIpg,2
6DgZHR-osM0,https://www.youtube.com/shorts/6DgZHR-osM0,2026-02-26T09:46:27Z,2026-02-26T10:13:46Z,8,8,0,2026-02-26T09:46:27Z,97.0,2026-02-26T10:13:46Z,97.0,0.0,0.0,97.0,97.0,92.0,92.0,no_change,https://youtube.com/shorts/6DgZHR-osM0,8
6E2ld1Pa3_M,https://www.youtube.com/shorts/6E2ld1Pa3_M,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,68.39,2026-03-04T11:16:24Z,68.39,0.0,0.0,68.39,68.39,,,no_change,https://youtube.com/shorts/6E2ld1Pa3_M,2
6Gdb3IGonOg,https://www.youtube.com/shorts/6Gdb3IGonOg,2026-02-26T09:46:27Z,2026-02-26T10:13:46Z,8,6,2,2026-02-26T09:58:20Z,97.0,2026-02-26T10:13:46Z,97.0,0.0,0.0,97.0,97.0,92.0,92.0,no_change,https://youtube.com/shorts/6Gdb3IGonOg,8
6H5AImEWu0s,https://www.youtube.com/shorts/6H5AImEWu0s,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.98,2026-03-05T14:08:29Z,67.98,0.0,0.0,67.98,67.98,1.3,1.3,no_change,https://www.youtube.com/shorts/6H5AImEWu0s,17
6PN3eqa45rQ,https://www.youtube.com/shorts/6PN3eqa45rQ,2026-02-26T09:46:27Z,2026-02-26T10:13:46Z,8,8,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:13:46Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/6PN3eqa45rQ,8
6Quo7-gsOAc,https://www.youtube.com/shorts/6Quo7-gsOAc,2026-02-26T09:46:27Z,2026-02-26T10:06:04Z,6,6,0,2026-02-26T09:46:27Z,97.0,2026-02-26T10:06:04Z,97.0,0.0,0.0,97.0,97.0,92.0,92.0,no_change,https://youtube.com/shorts/6Quo7-gsOAc,6
6SIokxH9JMQ,https://www.youtube.com/shorts/6SIokxH9JMQ,2026-02-26T09:46:27Z,2026-02-26T10:06:04Z,6,6,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:06:04Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/6SIokxH9JMQ,6
6TiH2zc9jrA,https://www.youtube.com/shorts/6TiH2zc9jrA,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,19,4,12,2026-03-05T11:42:20Z,67.77,2026-03-05T14:08:29Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://youtube.com/shorts/6TiH2zc9jrA?si=9_FT8gd91a8qbDvK,19
6UnF9jqIG3A,https://www.youtube.com/shorts/6UnF9jqIG3A,2026-03-01T12:40:12Z,2026-03-04T11:16:24Z,4,1,3,2026-03-04T11:16:24Z,67.35,2026-03-04T11:16:24Z,67.35,0.0,0.0,67.35,67.35,,,no_change,https://youtube.com/shorts/6UnF9jqIG3A,4
6X_N4qW19T4,https://www.youtube.com/shorts/6X_N4qW19T4,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,67.87,2026-03-10T09:13:16Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://www.youtube.com/shorts/6X_N4qW19T4,5
6ZUI2wdc9vw,https://www.youtube.com/shorts/6ZUI2wdc9vw,2026-02-26T09:46:27Z,2026-02-26T10:13:46Z,8,8,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:13:46Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/6ZUI2wdc9vw,8
6_Nb3j6qAQU,https://www.youtube.com/shorts/6_Nb3j6qAQU,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,69.67,2026-03-04T11:16:24Z,69.67,0.0,0.0,69.67,69.67,,,no_change,https://youtube.com/shorts/6_Nb3j6qAQU,2
6_YC4a3kmiA,https://www.youtube.com/shorts/6_YC4a3kmiA,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,64.33,2026-03-04T11:16:24Z,64.33,0.0,0.0,64.33,64.33,,,no_change,https://youtube.com/shorts/6_YC4a3kmiA,2
6ac1z0sHH90,https://www.youtube.com/shorts/6ac1z0sHH90,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,68.08,2026-03-10T09:13:16Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://www.youtube.com/shorts/6ac1z0sHH90,5
6cHAH2VSGL8,https://www.youtube.com/shorts/6cHAH2VSGL8,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,68.18,2026-03-04T11:16:24Z,68.18,0.0,0.0,68.18,68.18,,,no_change,https://youtube.com/shorts/6cHAH2VSGL8,2
